email|amount|accountA|accountB
We need to take the following action immediately! Move $2776689 into account RSYHA from account MWFZ1WO6!|2776689|MWFZ1WO6|RSYHA
Time to move 258457 in USD from account ANOUN1 to 7FP8C9. Let me know when this is done, thanks!|258457|ANOUN1|7FP8C9
move $3679898 to KOH9E from YW9IU7Z. Thanks.|3679898|YW9IU7Z|KOH9E
move $2051883 from 0ID1V3 into account PJX4MAAD.|2051883|0ID1V3|PJX4MAAD
Hey!! Danny Douglas It's Linda Anthony. Can you help me do something? I need to transfer $825785 from this account I have called FDSLK to my other account titled P70O6. Can you do this for me?|825785|FDSLK|P70O6
move $5856145 from Z71CS7 into account E23QYGYQ96G.|5856145|Z71CS7|E23QYGYQ96G
Hey Christina Morrison! Please move $5435091 from account R6O to account HF9EULLPDX. Thanks! Send me an email back when it's done! Thanks :D :D|5435091|R6O|HF9EULLPDX
we need to do the following today my friend. Please take $7691470 from HVP3OSAX and put this in account BZJ1LB1GLUKL|7691470|HVP3OSAX|BZJ1LB1GLUKL
Hey!! Heather Dennis It's Christopher Meza. Can you help me do something? I need to transfer $4586868 from this account I have called 96K8OFV9EY1 to my other account titled TPTUKY. Can you do this for me?|4586868|96K8OFV9EY1|TPTUKY
we need to do the following today my friend. Please take $4065376 from NUGHQH82P and put this in account SIHUR2|4065376|NUGHQH82P|SIHUR2
Please move $8910269 into account 0BRGRZ from CP5MSBSLU5|8910269|CP5MSBSLU5|0BRGRZ
Hi ,Nicole Carrillo please transfer 559952 from account V4J7HD23I to account S5GY5X2Q.|559952|V4J7HD23I|S5GY5X2Q
move $1661236 to TCH from BF3D9Q. Thanks.|1661236|BF3D9Q|TCH
Move money from account MGA1BO04I4 to account RHQF of the amount $9997483. Thank you!|9997483|MGA1BO04I4|RHQF
We will be transferring $2838602from RNEPCY0F53 to account 4CC3KTATR. Please confirm when this is finished.|2838602|RNEPCY0F53|4CC3KTATR
Hey!! Michael Blair. Can we do the following? I need to transfer $644869 from this account I have called JBG to my other account titled O93ADCJAK2YB. Thanks! Best Regards, Melanie Kelly|644869|JBG|O93ADCJAK2YB
move $2732105 to MKUG from JTCJTKS9. Thanks.|2732105|JTCJTKS9|MKUG
Melissa Good Please transfer $2293240 from ZWQKWDto VW74PG1JC. Thank you so much. Best Regards, Nicholas Hughes|2293240|ZWQKWD|VW74PG1JC
Hey!! Laura Murphy It's David Johnson. Can you help me do something? I need to transfer $109455 from this account I have called SL1WZ0O to my other account titled N2IZ209BVZ. Can you do this for me?|109455|SL1WZ0O|N2IZ209BVZ
Please do the following: take account 5E15NYJXS and move $5662029 to account IJHOOC7CYW.|5662029|5E15NYJXS|IJHOOC7CYW
Let's move $7685855 from account 9LL5 to account X4J1YQNG. Sound good?|7685855|9LL5|X4J1YQNG
Hi ,Trevor Sanders please transfer 9585969 from account 946SZZ2Y92 to account 6JC.|9585969|946SZZ2Y92|6JC
Hello, how are you doing? I need $7264242 moved from CCXH to C4DQ1EFOA.|7264242|CCXH|C4DQ1EFOA
We need to take the following action immediately! Move $6886386 into account 5SZY1S from account J3I!|6886386|J3I|5SZY1S
Move money from account 5F7BT to account WW9SO6HVHN of the amount $7384225. Thank you!|7384225|5F7BT|WW9SO6HVHN
Hey!! Douglas Chambers It's Molly Ramirez. Can you help me do something? I need to transfer $9622297 from this account I have called JR0 to my other account titled 3Q6WZG4D35R. Can you do this for me?|9622297|JR0|3Q6WZG4D35R
We will be transferring $9143425from account TFEto account SIS2OG55. This needs to be done today. Thanks!|9143425|TFE|SIS2OG55
Hey!! Virginia Lester. Can we do the following? I need to transfer $9469924 from this account I have called 9MQ66WBVMG to my other account titled QOIEE1MA. Thanks! Best Regards, Megan Thornton|9469924|9MQ66WBVMG|QOIEE1MA
Hi ,Patricia Sanders please transfer 7865189 from account HHS6IFI54RNN to account 6XFWML2.|7865189|HHS6IFI54RNN|6XFWML2
we need to do the following today my friend. Please take $5119102 from G2EK and put this in account EFU3K|5119102|G2EK|EFU3K
Jack Henry Please transfer $6419760 from FXWLOR3to 6L9SK0NR9T. Thank you so much. Best Regards, Kelsey Patterson|6419760|FXWLOR3|6L9SK0NR9T
Hey!! Drew Liu. Can we do the following? I need to transfer $2289356 from this account I have called MZLDD to my other account titled T4THDCDDMQP1. Thanks! Best Regards, Elizabeth Thompson|2289356|MZLDD|T4THDCDDMQP1
Hi, can you please assist me with the following? I need 5040190 moved into CR7MR from KP1RQ8R0. Thank you!|5040190|KP1RQ8R0|CR7MR
We will be transferring $7187873from account A5MV4Gto account 8IJ55AQS95. This needs to be done today. Thanks!|7187873|A5MV4G|8IJ55AQS95
Do the following Mary Steele. Move $7458976 from this account called R07 to account JAA4KS0. Thanks. We need this done ASAP. We have a client waiting.|7458976|R07|JAA4KS0
Hi, can you please assist me with the following? I need $5039150 moved into N533NQY0KGfrom PJW00VH2Q. Thank you very much :D|5039150|PJW00VH2Q|N533NQY0KG
we need to do the following today my friend. Please take $4458395 from G3LNITVS4 and put this in account G4AV308R|4458395|G3LNITVS4|G4AV308R
Let's move $184523 from account AP4MAOS to account 0CEARP0K. Sound good?|184523|AP4MAOS|0CEARP0K
Linda Banks I need you to do the following. Please transfer $2081573 from VG94to LMINDZD9X59. Thank you so much.|2081573|VG94|LMINDZD9X59
We need to remove 8998888 from K625RG0X and deposit this into TKNP. Thanks :D|8998888|K625RG0X|TKNP
Hey!! Dean Mendez. Can we do the following? I need to transfer $3706861 from this account I have called 2Y9WMK to my other account titled AXAVRE70Y1QZ. Thanks! Best Regards, Sara Davis|3706861|2Y9WMK|AXAVRE70Y1QZ
Hi this is Edward Mcdonald. I need you to do the following. Please help me transfer 569032 from 81JL5 into UDZPR. Thanks.|569032|81JL5|UDZPR
Transfer 7002311 from M5M to account XCB8ZYIL.|7002311|M5M|XCB8ZYIL
Let's move $5783796 into 3VFRP from account YLQL7M. Thanks.|5783796|YLQL7M|3VFRP
Hey!! Benjamin Blake. Can we do the following? I need to transfer $7284214 from this account I have called 4TPIL86UO to my other account titled QX0KJAFS53. Thanks! Best Regards, Heather Walker|7284214|4TPIL86UO|QX0KJAFS53
We need to take the following action immediately! Move $616965 into account QV73UUWG from account AQPGO6A!|616965|AQPGO6A|QV73UUWG
Peter Marquez Please transfer $3181963 from XZ5O6RV3F48to R00Y7. Thank you so much. Best Regards, Zachary Ayala|3181963|XZ5O6RV3F48|R00Y7
Let's move $7374060 from account 020IJXYAYBUR to account F06LKKM. Sound good?|7374060|020IJXYAYBUR|F06LKKM
move $3144212 to F0P from ZWW3UYGRG. Thanks.|3144212|ZWW3UYGRG|F0P
move $5117350 to AZQSDRN5OZR from UOF8. Thanks.|5117350|UOF8|AZQSDRN5OZR
This needs immediate attention. Please carefully move 9067094 in the form of US dollars from SW43 into account 6NZNGI3. Sincerely.|9067094|SW43|6NZNGI3
Hi ,Victoria Davis please transfer 7721654 from account 61V1NG to account EDY5KT.|7721654|61V1NG|EDY5KT
We will be transferring $2207537from account ZROPL3KVto account 89B3BWL0DTMX. This needs to be done today. Thanks!|2207537|ZROPL3KV|89B3BWL0DTMX
Todd Cervantes I need you to do the following. Please transfer $715009 from A17JAIEAto HPVZMSZS18. Thank you so much.|715009|A17JAIEA|HPVZMSZS18
Hey!! John Bennett It's Cory Villarreal. Can you help me do something? I need to transfer $4964360 from this account I have called BFM14EVM2W40 to my other account titled ZEC260BKFOV. Can you do this for me?|4964360|BFM14EVM2W40|ZEC260BKFOV
Hi, can you please assist me with the following? I need $692214 moved into STWO0IRfrom WKAWJWQBIMM. Thank you very much :D|692214|WKAWJWQBIMM|STWO0IR
Please do the following: take account SG5RBJQGAHY and move $9402116 to account LMCINTQ2LSCT.|9402116|SG5RBJQGAHY|LMCINTQ2LSCT
Let's move $1728550 from account 0LZSK2W2YL to account 3ZC5Y9EQTE0. Sound good?|1728550|0LZSK2W2YL|3ZC5Y9EQTE0
Please move $4514446 into account RLSMKSGBG from I0S6KFK7|4514446|I0S6KFK7|RLSMKSGBG
Please move $2054747 into account LB9 from 3ZABB|2054747|3ZABB|LB9
We need to take the following action immediately! Move $1827323 into account TCG46JADRY from account AYP0HH7!|1827323|AYP0HH7|TCG46JADRY
We will be transferring $2741205from account JNK34HDJMDL5to account G4L3WBO. This needs to be done today. Thanks!|2741205|JNK34HDJMDL5|G4L3WBO
The following action needs to be taken. Please move 4181189 from C1LGU3MPVCUM to account T1U61J7R. Thank you very much.|4181189|C1LGU3MPVCUM|T1U61J7R
Hi, can you please assist me with the following? I need 7193065 moved into 5BE9M from FK12ASTW. Thank you!|7193065|FK12ASTW|5BE9M
This needs immediate attention. Please carefully move 3463301 in the form of US dollars from YYA into account LU2J16EG7PBL. Sincerely.|3463301|YYA|LU2J16EG7PBL
We need to remove 7824023 from HJV9DEMTIS and deposit this into CK1J6. Thanks :D|7824023|HJV9DEMTIS|CK1J6
Hi this is Daniel Bell. I need you to do the following. Please help me transfer 9070115 from ORKEJNDG0F into NA6P0E3RJ8. Thanks.|9070115|ORKEJNDG0F|NA6P0E3RJ8
Hi, can you please assist me with the following? I need $720145 moved into LFDG3from ALXI9G. Thank you very much :D|720145|ALXI9G|LFDG3
Andrew Willis Please transfer $7262018 from DCGLTXMRto 73O. Thank you so much. Best Regards, Corey Knight|7262018|DCGLTXMR|73O
Let's move $6828853 from account FQFRAQJG85 to account 0WCGL4SNC. Sound good?|6828853|FQFRAQJG85|0WCGL4SNC
Time to move 2414039 in USD from account HZ5AODVA to 8IW08X. Let me know when this is done, thanks!|2414039|HZ5AODVA|8IW08X
Today we need to move $359310 from account WONQNQFF0 to this account titled F1P.Thanks so much.|359310|WONQNQFF0|F1P
Hey!! Brianna Johnson. Can we do the following? I need to transfer $58722 from this account I have called T1FXTVIC6VDZ to my other account titled Q6XK. Thanks! Best Regards, Shelley Long|58722|T1FXTVIC6VDZ|Q6XK
Let's move $3935542 into 4IJGBCQATKOA from account 8L0VGR7GRHQ. Thanks.|3935542|8L0VGR7GRHQ|4IJGBCQATKOA
This needs immediate attention. Please carefully move 1962670 in the form of US dollars from 1P66OLNCKD1R into account Q0U4ZLU4Q. Sincerely.|1962670|1P66OLNCKD1R|Q0U4ZLU4Q
We need to remove 3559823 from FYHJJYL and deposit this into X9HWKZC809. Thanks :D|3559823|FYHJJYL|X9HWKZC809
Hi this is Stephanie Cook. I need you to do the following. Please help me transfer 7942062 from 44ZL into 3R4MY. Thanks.|7942062|44ZL|3R4MY
Anthony Evans I need you to do the following. Please transfer $3012930 from RZYQZMto UYE0F8HI8L. Thank you so much.|3012930|RZYQZM|UYE0F8HI8L
It's that time again! Move 7546462 from NWBH3F3FWPW to account 9LYVKOCool?|7546462|NWBH3F3FWPW|9LYVKO
Hey!! David Green. Can we do the following? I need to transfer $1385752 from this account I have called BC8P6 to my other account titled 8RTM. Thanks! Best Regards, Sarah Lopez|1385752|BC8P6|8RTM
Hey Sarah Harvey! Please move $1505412 from account WJ0D to account AAQV. Thanks! Send me an email back when it's done! Thanks :D :D|1505412|WJ0D|AAQV
move $2999424 from N2SY into account JF0LDXJFO1Y.|2999424|N2SY|JF0LDXJFO1Y
Transfer 5624371 from OWCK to account OCLJMCXYSG.|5624371|OWCK|OCLJMCXYSG
Today we need to move $3862296 from account ID06WY83 to this account titled KAC8B.Thanks so much.|3862296|ID06WY83|KAC8B
Laura Williams I need you to do the following. Please transfer $9091425 from M4QZFEto NEIG7AV. Thank you so much.|9091425|M4QZFE|NEIG7AV
Hey!! Diane Padilla. Can we do the following? I need to transfer $5324495 from this account I have called TSB to my other account titled EX3K50. Thanks! Best Regards, Stephen Brown|5324495|TSB|EX3K50
Transfer 7290754 from 2BT1 to account BW4U.|7290754|2BT1|BW4U
Do the following Elizabeth Stevens. Move $8360084 from this account called FKI9D to account LCWG4D. Thanks. We need this done ASAP. We have a client waiting.|8360084|FKI9D|LCWG4D
Hi ,Thomas Garcia please transfer 4922630 from account 2DJON8LT to account ZWWA6OQ1P.|4922630|2DJON8LT|ZWWA6OQ1P
Do the following Dr. Dean Perez. Move $8516406 from this account called GJZEHJFZABT to account ZP08BE098. Thanks. We need this done ASAP. We have a client waiting.|8516406|GJZEHJFZABT|ZP08BE098
We will be transferring $7673235from W9SNQ to account 0VH59L. Please confirm when this is finished.|7673235|W9SNQ|0VH59L
Michael Costa I need you to do the following. Please transfer $9622068 from ERY6463Dto AP6TF. Thank you so much.|9622068|ERY6463D|AP6TF
Let's move $5898851 from account 9HM2KQ6 to account I56DAV. Sound good?|5898851|9HM2KQ6|I56DAV
We will be transferring $1784028from IJQM2KT3NSDR to account DJA7KSNPAV. Please confirm when this is finished.|1784028|IJQM2KT3NSDR|DJA7KSNPAV
Hey!! Stephanie Davis It's Michael Allen. Can you help me do something? I need to transfer $4337928 from this account I have called M4FHQEZS645 to my other account titled 118BPFRF. Can you do this for me?|4337928|M4FHQEZS645|118BPFRF
Hi, can you please assist me with the following? I need $7817439 moved into HW8RKJ02EZFfrom M1H5. Thank you very much :D|7817439|M1H5|HW8RKJ02EZF
Please move $1181708 into account TKEBIEX from NR8H|1181708|NR8H|TKEBIEX
Time to move 9654017 in USD from account 4GYE to KFLTX7VQE. Let me know when this is done, thanks!|9654017|4GYE|KFLTX7VQE
Today we need to move $6412585 from account IZI to this account titled 1SWE.Thanks so much.|6412585|IZI|1SWE
Hi, can you please assist me with the following? I need 5761038 moved into IUHGKP1FIU from EEZW9MWXF6. Thank you!|5761038|EEZW9MWXF6|IUHGKP1FIU
Let's move $218960 from account SVCKAMSYAR58 to account IJZ9L6A. Sound good?|218960|SVCKAMSYAR58|IJZ9L6A
move $5272415 from 8LL into account 16Q08SE2F3.|5272415|8LL|16Q08SE2F3
Transfer 6687016 from 7GKEO1QM8M to account TZXYRRHQ24G.|6687016|7GKEO1QM8M|TZXYRRHQ24G
Hey Kevin Wilkinson! Please move $543487 from account 9WCU5R6 to account CYB6G9HSTAC2. Thanks! Send me an email back when it's done! Thanks :D :D|543487|9WCU5R6|CYB6G9HSTAC2
Let's move $936481 from account 0AM4L0XGC2UW to account GIV. Sound good?|936481|0AM4L0XGC2UW|GIV
This needs immediate attention. Please carefully move 1696440 in the form of US dollars from PNB0 into account XJQC2B. Sincerely.|1696440|PNB0|XJQC2B
Hey!! Mary Wilson. Can we do the following? I need to transfer $6452589 from this account I have called B9N3MI7 to my other account titled WQLV81226CAV. Thanks! Best Regards, Don Edwards|6452589|B9N3MI7|WQLV81226CAV
Let's move $3912606 from account KLF5E7 to account 9GA0OL. Sound good?|3912606|KLF5E7|9GA0OL
Please do the following: take account DRYRWO1T9 and move $6061763 to account HZRJG6X.|6061763|DRYRWO1T9|HZRJG6X
Please do the following: take account 0J6FYODDB and move $412881 to account X9TDS1TH04YP.|412881|0J6FYODDB|X9TDS1TH04YP
Today we need to move $1902740 from account 2CURUA12Y4IZ to this account titled 9UF.Thanks so much.|1902740|2CURUA12Y4IZ|9UF
Please do the following: take account RMTWQ and move $4394082 to account P3HMT2BSG.|4394082|RMTWQ|P3HMT2BSG
The following action needs to be taken. Please move 3092796 from LMJZ to account 0P6KGELL. Thank you very much.|3092796|LMJZ|0P6KGELL
we need to do the following today my friend. Please take $4122368 from AMHDN and put this in account 53LC|4122368|AMHDN|53LC
Hi ,Clayton Johnson please transfer 9704253 from account 9BXIA9U to account PPDL.|9704253|9BXIA9U|PPDL
Please do the following: take account XEODAW and move $212461 to account 5VM.|212461|XEODAW|5VM
Let's move $3203853 from account 66WNHJXSO to account 7FDCJRD. Sound good?|3203853|66WNHJXSO|7FDCJRD
Time to move 2665694 in USD from account FZ1TD914U6O4 to E8IVS2GD94. Let me know when this is done, thanks!|2665694|FZ1TD914U6O4|E8IVS2GD94
Hi this is John Kane. I need you to do the following. Please help me transfer 3141887 from 6IA into ND9Q. Thanks.|3141887|6IA|ND9Q
Hey Melissa Lambert! Please move $8771938 from account PC6773SF4N8 to account UO07FMT4A. Thanks! Send me an email back when it's done! Thanks :D :D|8771938|PC6773SF4N8|UO07FMT4A
Hi ,Elizabeth Hall please transfer 1514153 from account P6IKR to account IUA6KZF.|1514153|P6IKR|IUA6KZF
Time to move 336269 in USD from account TX1KJF792QLW to 770R. Let me know when this is done, thanks!|336269|TX1KJF792QLW|770R
Hey Sonya Hernandez! Please move $6116383 from account X68ATMZ to account JW9VQV77BM. Thanks! Send me an email back when it's done! Thanks :D :D|6116383|X68ATMZ|JW9VQV77BM
Today we need to move $3249556 from account PPYOBKKGB6 to this account titled AUD30W4G1P2C.Thanks so much.|3249556|PPYOBKKGB6|AUD30W4G1P2C
Hey Alvin Ramirez! Please move $1180343 from account 1RZSEL48CER7 to account U0O7NZ5K2UMG. Thanks! Send me an email back when it's done! Thanks :D :D|1180343|1RZSEL48CER7|U0O7NZ5K2UMG
Account CSQSAMD9HSO needs $5483531 transferred to 0HU02.|5483531|CSQSAMD9HSO|0HU02
The following action needs to be taken. Please move 6014170 from IFG86OD4 to account BEGCNR. Thank you very much.|6014170|IFG86OD4|BEGCNR
move $7956989 to ZGYLFN02Q2 from G04963XE. Thanks.|7956989|G04963XE|ZGYLFN02Q2
Move money from account EBRM3 to account 2TR54W331M1 of the amount $4420678. Thank you!|4420678|EBRM3|2TR54W331M1
We need to take the following action immediately! Move $814167 into account 6M45WADBKH from account 3SDEF8QY!|814167|3SDEF8QY|6M45WADBKH
Time to move 9154405 in USD from account THB0E3 to 5S4PS8. Let me know when this is done, thanks!|9154405|THB0E3|5S4PS8
Today we need to move $6401112 from account 6GT to this account titled 1Q4YLYH.Thanks so much.|6401112|6GT|1Q4YLYH
move $580527 to J9KRR from HOJLTGFTD. Thanks.|580527|HOJLTGFTD|J9KRR
Time to move 4981322 in USD from account WYGL0G8ROL to PY6GS3YRCB. Let me know when this is done, thanks!|4981322|WYGL0G8ROL|PY6GS3YRCB
We need to take the following action immediately! Move $9568551 into account 3NO6E from account 628U!|9568551|628U|3NO6E
Please move $5263904 into account ZA5WXX6 from XY2Z8QX246|5263904|XY2Z8QX246|ZA5WXX6
We need to take the following action immediately! Move $5862503 into account W42C from account ZU924M!|5862503|ZU924M|W42C
We will be transferring $6560163from 1LU5E to account KJ9Z36OIICH. Please confirm when this is finished.|6560163|1LU5E|KJ9Z36OIICH
Hey!! Roy Marshall. Can we do the following? I need to transfer $1273978 from this account I have called RQF4P23AK0W to my other account titled 2RDJ78QSH. Thanks! Best Regards, Dr. Susan Smith|1273978|RQF4P23AK0W|2RDJ78QSH
move $9964853 from YFWK206Y1RAR into account 02YRNA1WRS9.|9964853|YFWK206Y1RAR|02YRNA1WRS9
We will be transferring $8473919from account FFS1U3ZSto account AMNCR. This needs to be done today. Thanks!|8473919|FFS1U3ZS|AMNCR
we need to do the following today my friend. Please take $1465131 from HAIZ2IVK and put this in account JSCELT3|1465131|HAIZ2IVK|JSCELT3
Let's move $4018410 from account RE753M to account 46XQ6GIT5D. Sound good?|4018410|RE753M|46XQ6GIT5D
We will be transferring $1181959from account 3MLHWHto account P1F. This needs to be done today. Thanks!|1181959|3MLHWH|P1F
Account UWT5BM60 needs $54147 transferred to 6YTC0LA.|54147|UWT5BM60|6YTC0LA
Hello, how are you doing? I need $7188111 moved from S29PDHYZ32I to X8BOMIL.|7188111|S29PDHYZ32I|X8BOMIL
Jacqueline Morris Please transfer $4327888 from 6ODQYMSJHMQ2to O4U4MV2ZS0. Thank you so much. Best Regards, David Gibson|4327888|6ODQYMSJHMQ2|O4U4MV2ZS0
John Gibson Please transfer $7075052 from U6Tto HJKRQ1VKDO. Thank you so much. Best Regards, Destiny Young|7075052|U6T|HJKRQ1VKDO
Please move $5751150 into account X1I1VX25RLRX from KC0EA|5751150|KC0EA|X1I1VX25RLRX
Transfer 4054129 from 02KE7SVWG6 to account K7RTZIB.|4054129|02KE7SVWG6|K7RTZIB
We will be transferring $7376614from WQJCZK2UW to account C992YYJ2. Please confirm when this is finished.|7376614|WQJCZK2UW|C992YYJ2
Hi, can you please assist me with the following? I need $9388077 moved into B84from D4W. Thank you very much :D|9388077|D4W|B84
Transfer 2401209 from 7WD1C1D to account 1R9WNW4.|2401209|7WD1C1D|1R9WNW4
Time to move 4471666 in USD from account PS3 to 0EZJUA0T0XAS. Let me know when this is done, thanks!|4471666|PS3|0EZJUA0T0XAS
We need to remove 4574888 from UKF and deposit this into JYJIJSBK5. Thanks :D|4574888|UKF|JYJIJSBK5
Today we need to move $1465836 from account 5U8RV9FT516 to this account titled 40UH401FCC0.Thanks so much.|1465836|5U8RV9FT516|40UH401FCC0
Do the following Stanley Carter. Move $5437522 from this account called AG6DWR0UAGV to account M3G0. Thanks. We need this done ASAP. We have a client waiting.|5437522|AG6DWR0UAGV|M3G0
Time to move 2769209 in USD from account 700LOOZHTYW to X1PQWYO. Let me know when this is done, thanks!|2769209|700LOOZHTYW|X1PQWYO
